artifact_key,node_full_path,topic,domain,indicator_name,short_name,kb_level,achievement_text,achievement_item_no,achievement_item_text,title,description
ВССТ.ПЛН.5,Восстановление.Планирование восстановления.ВССТ.ПЛН.5,Восстановление,Планирование восстановления,Выполняется регулярное создание резервных копий в соответствии с регламентом,ВССТ.ПЛН.5,КБ1,"Выгрузка конфигураций ПО для резервного копирования/ скрипты
- Снимки экрана мест хранения резервных копий
- Скан-копия договора о предоставлении услуги резервного копирования / Электронная версия договора с реквизитами ЭП",,"Выгрузка конфигураций ПО для резервного копирования/ скрипты
- Снимки экрана мест хранения резервных копий
- Скан-копия договора о предоставлении услуги резервного копирования / Электронная версия договора с реквизитами ЭП","Выгрузка конфигураций ПО для резервного копирования/ скрипты
- Снимки экрана мест хранения резервных копий
- Скан-копия договора о предоставлении услуги резервного копирования / Электронная версия договора с реквизитами ЭП",""
ВССТ.ПЛН.6,Восстановление.Планирование восстановления.ВССТ.ПЛН.6,Восстановление,Планирование восстановления,Резервные копии хранятся на сторонних площадках,ВССТ.ПЛН.6,КБ1,"Выгрузка конфигураций ПО для резервного копирования/ скрипты
- Снимки экрана мест хранения резервных копий

- Скан-копия договора о предоставлении услуги резервного копирования / Электронная версия договора с реквизитами ЭП",,"Выгрузка конфигураций ПО для резервного копирования/ скрипты
- Снимки экрана мест хранения резервных копий

- Скан-копия договора о предоставлении услуги резервного копирования / Электронная версия договора с реквизитами ЭП","Выгрузка конфигураций ПО для резервного копирования/ скрипты
- Снимки экрана мест хранения резервных копий

- Скан-копия договора о предоставлении услуги резервного копирования / Электронная версия договора с реквизитами ЭП",""
ВССТ.ПЛН.7#1,Восстановление.Планирование восстановления.ВССТ.ПЛН.7.1,Восстановление,Планирование восстановления,Определены требования восстановления и проводятся тестирования,ВССТ.ПЛН.7,КБ3,"1. Формализованный порядок тестирования планов восстановления
2. Отчеты о проведенном тестировании",1,Формализованный порядок тестирования планов восстановления,Формализованный порядок тестирования планов восстановления,""
ВССТ.ПЛН.7#2,Восстановление.Планирование восстановления.ВССТ.ПЛН.7.2,Восстановление,Планирование восстановления,Определены требования восстановления и проводятся тестирования,ВССТ.ПЛН.7,КБ3,"1. Формализованный порядок тестирования планов восстановления
2. Отчеты о проведенном тестировании",2,Отчеты о проведенном тестировании,Отчеты о проведенном тестировании,""
ВССТ.ПЛН.8#1,Восстановление.Планирование восстановления.ВССТ.ПЛН.8.1,Восстановление,Планирование восстановления,Тестирование планов по реагированию и восстановлению проводятся совместно с поставщиками и сторонними провайдерами (имеющими доступ в инфраструктуру Общества),ВССТ.ПЛН.8,КБ3,"1. Формализованный план восстановления
2.Отчеты о проведенных тестированиях",1,Формализованный план восстановления,Формализованный план восстановления,""
ВССТ.ПЛН.9#1,Восстановление.Планирование восстановления.ВССТ.ПЛН.9.1,Восстановление,Планирование восстановления,Планы восстановления совершенствуются по результатам тестирования и реагирования,ВССТ.ПЛН.9,КБ1,"1. Справки/аналитические записки, материалы/служебные записки",1,"Справки/аналитические записки, материалы/служебные записки","Справки/аналитические записки, материалы/служебные записки",""
НС.250.ОУ.2#1,Нормативное соответствие.250 Указ.НС.250.ОУ.2.1,Нормативное соответствие,250 Указ,"Подготовлено и утверждено положение о заместителе, ответственном за обеспечение ИБ, в соответствии с требованиями Постановления Правительства РФ от 15.07.2022 № 1272",НС.250.ОУ.2,КБ1,"1. Утвержденное положение о заместителе, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272
2. Листы ознакомления",1,"Утвержденное положение о заместителе, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272","Утвержденное положение о заместителе, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272",""
НС.250.ОУ.2#2,Нормативное соответствие.250 Указ.НС.250.ОУ.2.2,Нормативное соответствие,250 Указ,"Подготовлено и утверждено положение о заместителе, ответственном за обеспечение ИБ, в соответствии с требованиями Постановления Правительства РФ от 15.07.2022 № 1272",НС.250.ОУ.2,КБ1,"1. Утвержденное положение о заместителе, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272
2. Листы ознакомления",2,Листы ознакомления,Листы ознакомления,""
НС.250.ОУ.3,Нормативное соответствие.250 Указ.НС.250.ОУ.3,Нормативное соответствие,250 Указ,Заместитель по ИБ входит в состав коллегиальных органов Общества,НС.250.ОУ.3,КБ1,"Предусмотрено в типовом Положении о заместителе руководителя организации, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.",,"Предусмотрено в типовом Положении о заместителе руководителя организации, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.","Предусмотрено в типовом Положении о заместителе руководителя организации, ответственном за обеспечение ИБ в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.",""
НС.250.ОУ.4,Нормативное соответствие.250 Указ.НС.250.ОУ.4,Нормативное соответствие,250 Указ,Проводится обучение пользователей по ИБ,НС.250.ОУ.4,КБ1,"1) Разработанный внутренний нормативный документ: ""Положение о повышении осведомленности работников"";
2) Организация рассылок работникам Общества с наиболее актуальной информацией в области информационной безопасности (угрозы информационной безопасности, схемы мошенничества, правила безопасной работы);
3) Организация обучения работников в очной/заочной форме (например, онлайн курсы с последующим тестированием знаний)",,"1) Разработанный внутренний нормативный документ: ""Положение о повышении осведомленности работников"";
2) Организация рассылок работникам Общества с наиболее актуальной информацией в области информационной безопасности (угрозы информационной безопасности, схемы мошенничества, правила безопасной работы);
3) Организация обучения работников в очной/заочной форме (например, онлайн курсы с последующим тестированием знаний)","1) Разработанный внутренний нормативный документ: ""Положение о повышении осведомленности работников"";
2) Организация рассылок работникам Общества с наиболее актуальной информацией в области информационной безопасности (угрозы информационной безопасности, схемы мошенничества, правила безопасной работы);
3) Организация обучения работников в очной/заочной форме (например, онлайн курсы с последующим тестированием знаний)",""
НС.250.ОУ.5,Нормативное соответствие.250 Указ.НС.250.ОУ.5,Нормативное соответствие,250 Указ,Заместитель руководителя Общества имеет необходимое обучение,НС.250.ОУ.5,КБ1,Скан-копия диплома/свидетельства о переподготовке,,Скан-копия диплома/свидетельства о переподготовке,Скан-копия диплома/свидетельства о переподготовке,""
НС.250.ОУ.6,Нормативное соответствие.250 Указ.НС.250.ОУ.6,Нормативное соответствие,250 Указ,Заместитель  руководителя Общества проходит регулярное повышение квалификации,НС.250.ОУ.6,КБ1,Скан-копии свидетельств о повышении квалификации,,Скан-копии свидетельств о повышении квалификации,Скан-копии свидетельств о повышении квалификации,""
НС.250.ОУ.7,Нормативное соответствие.250 Указ.НС.250.ОУ.7,Нормативное соответствие,250 Указ,Документы по цифровой трансформации и т.п проходят согласование с ИБ,НС.250.ОУ.7,КБ1,Скан-копии ВНД и листов согласования/выгрузка и системы ЭД,,Скан-копии ВНД и листов согласования/выгрузка и системы ЭД,Скан-копии ВНД и листов согласования/выгрузка и системы ЭД,""
НС.250.ОУ.8,Нормативное соответствие.250 Указ.НС.250.ОУ.8,Нормативное соответствие,250 Указ,Проводится регулярное повышение осведомленности,НС.250.ОУ.8,КБ1,Ежегодный отчёт руководству Общества (в рамках отчёта по ежегодному Плану мероприятий.,,Ежегодный отчёт руководству Общества (в рамках отчёта по ежегодному Плану мероприятий.,Ежегодный отчёт руководству Общества (в рамках отчёта по ежегодному Плану мероприятий.,""
НС.250.ПДР.2,Нормативное соответствие.250 Указ.НС.250.ПДР.2,Нормативное соответствие,250 Указ,"Утверждено положение о подразделении, обеспечивающим ИБ в соответствии с требованиями Постановления Правительства РФ от 15.07.2022 № 1272",НС.250.ПДР.2,КБ1,"Утвержденное положение о структурном подразделении, ответственном за обеспечение ИБ, в соответствии с требованиями ПП от 15.07.2022 № 1272",,"Утвержденное положение о структурном подразделении, ответственном за обеспечение ИБ, в соответствии с требованиями ПП от 15.07.2022 № 1272","Утвержденное положение о структурном подразделении, ответственном за обеспечение ИБ, в соответствии с требованиями ПП от 15.07.2022 № 1272",""
НС.250.ПДР.3,Нормативное соответствие.250 Указ.НС.250.ПДР.3,Нормативное соответствие,250 Указ,"Подразделение подчинено заместителю руководителю Общества, ответственному за ИБ",НС.250.ПДР.3,КБ1,"Утвержденное положение о структурном подразделении, ответственном за обеспечение ИБ, в соответствии с требованиями ПП от 15.07.2022 № 1272",,"Утвержденное положение о структурном подразделении, ответственном за обеспечение ИБ, в соответствии с требованиями ПП от 15.07.2022 № 1272","Утвержденное положение о структурном подразделении, ответственном за обеспечение ИБ, в соответствии с требованиями ПП от 15.07.2022 № 1272",""
НС.250.ПДРД.1,Нормативное соответствие.250 Указ.НС.250.ПДРД.1,Нормативное соответствие,250 Указ,Все привлекаемые к осуществлению мероприятий по ИБ организации имеют лицензии,НС.250.ПДРД.1,КБ1,"Скан-копии договоров с подрядчиками, скан-копии лицензий",,"Скан-копии договоров с подрядчиками, скан-копии лицензий","Скан-копии договоров с подрядчиками, скан-копии лицензий",""
НС.250.ПДРД.2,Нормативное соответствие.250 Указ.НС.250.ПДРД.2,Нормативное соответствие,250 Указ,Привлекаемый SOC имеет аккредитацию,НС.250.ПДРД.2,КБ1,Скан-копия договора на предоставление услуг SOC,,Скан-копия договора на предоставление услуг SOC,Скан-копия договора на предоставление услуг SOC,""
НС.250.ПДРД.3,Нормативное соответствие.250 Указ.НС.250.ПДРД.3,Нормативное соответствие,250 Указ,Привлекаемые для оценки защищенности организации имеют лицензию ФСТЭК,НС.250.ПДРД.3,КБ1,"Скан-копия договора с подрядчиком, скан копия лицензии",,"Скан-копия договора с подрядчиком, скан копия лицензии","Скан-копия договора с подрядчиком, скан копия лицензии",""
НС.250.ПДРД.4,Нормативное соответствие.250 Указ.НС.250.ПДРД.4,Нормативное соответствие,250 Указ,Привлекаемые для оценки защищенности организации имеют лицензию ФСБ,НС.250.ПДРД.4,КБ1,"Скан-копия договора с подрядчиком, скан копия лицензии",,"Скан-копия договора с подрядчиком, скан копия лицензии","Скан-копия договора с подрядчиком, скан копия лицензии",""
НС.250.СЗИ.1,Нормативное соответствие.250 Указ.НС.250.СЗИ.1,Нормативное соответствие,250 Указ,Произведена инвентаризация СЗИ на предмет выявления импортного,НС.250.СЗИ.1,КБ1,Перечень используемых средств защиты информации из недружественных государств,,Перечень используемых средств защиты информации из недружественных государств,Перечень используемых средств защиты информации из недружественных государств,""
НС.250.СЗИ.2,Нормативное соответствие.250 Указ.НС.250.СЗИ.2,Нормативное соответствие,250 Указ,Проведена оценка возможности перехода на отечественное,НС.250.СЗИ.2,КБ1,Результат анализа возможности перехода,,Результат анализа возможности перехода,Результат анализа возможности перехода,""
НС.250.СЗИ.3,Нормативное соответствие.250 Указ.НС.250.СЗИ.3,Нормативное соответствие,250 Указ,Подготовлен план перехода,НС.250.СЗИ.3,КБ1,Утвержденный План перехода,,Утвержденный План перехода,Утвержденный План перехода,""
НС.250.СЗИ.4,Нормативное соответствие.250 Указ.НС.250.СЗИ.4,Нормативное соответствие,250 Указ,Осуществлено пилотирование,НС.250.СЗИ.4,КБ1,Документ по результатам проведения пилотирования,,Документ по результатам проведения пилотирования,Документ по результатам проведения пилотирования,""
НС.250.СЗИ.5,Нормативное соответствие.250 Указ.НС.250.СЗИ.5,Нормативное соответствие,250 Указ,Сделан выбор и осуществлено внедрение выбранного СЗИ,НС.250.СЗИ.5,КБ1,Утвержденный Акт ввода в эксплуатацию средств защиты информации.,,Утвержденный Акт ввода в эксплуатацию средств защиты информации.,Утвержденный Акт ввода в эксплуатацию средств защиты информации.,""
НС.250.СОПКА.1,Нормативное соответствие.250 Указ.НС.250.СОПКА.1,Нормативное соответствие,250 Указ,Утвержден регламент взаимодействия с ГосСОПКА,НС.250.СОПКА.1,КБ1,"Соглашение между ПАО ""Ростелеком""  и ДЗО в области обнаружения, предупреждения и ликвидации последствий компьютерных атак
Утвержденный набор ВНД и ОРД",,"Соглашение между ПАО ""Ростелеком""  и ДЗО в области обнаружения, предупреждения и ликвидации последствий компьютерных атак
Утвержденный набор ВНД и ОРД","Соглашение между ПАО ""Ростелеком""  и ДЗО в области обнаружения, предупреждения и ликвидации последствий компьютерных атак
Утвержденный набор ВНД и ОРД",""
НС.250.СОПКА.2,Нормативное соответствие.250 Указ.НС.250.СОПКА.2,Нормативное соответствие,250 Указ,Осуществляется мониторинг ресурсов,НС.250.СОПКА.2,КБ1,Утвержденный Регламент взаимодействия с КЦ ГосСОПКА,,Утвержденный Регламент взаимодействия с КЦ ГосСОПКА,Утвержденный Регламент взаимодействия с КЦ ГосСОПКА,""
НС.250.СОПКА.3,Нормативное соответствие.250 Указ.НС.250.СОПКА.3,Нормативное соответствие,250 Указ,Организовано взаимодействие с должностными лицами ФСБ России по результатам мониторинга,НС.250.СОПКА.3,КБ1,Утвержденный Регламент информирования ФСБ России (НКЦКИ) о компьютерных инцидентах,,Утвержденный Регламент информирования ФСБ России (НКЦКИ) о компьютерных инцидентах,Утвержденный Регламент информирования ФСБ России (НКЦКИ) о компьютерных инцидентах,""
НС.250.СОПКА.4,Нормативное соответствие.250 Указ.НС.250.СОПКА.4,Нормативное соответствие,250 Указ,Заключено соглашение с НКЦКИ,НС.250.СОПКА.4,КБ1,Утвержденный План реагирования на компьютерные инциденты и принятия мер по ликвидации последствий компьютерных атак,,Утвержденный План реагирования на компьютерные инциденты и принятия мер по ликвидации последствий компьютерных атак,Утвержденный План реагирования на компьютерные инциденты и принятия мер по ликвидации последствий компьютерных атак,""
НС.250.СОПКА.5,Нормативное соответствие.250 Указ.НС.250.СОПКА.5,Нормативное соответствие,250 Указ,Организовано взаимодействие с НКЦКИ,НС.250.СОПКА.5,КБ1,Письмо в адрес Директора НКЦКИ письмо о принятом решении информировать НКЦКИ через КЦ ГосСОПКА,,Письмо в адрес Директора НКЦКИ письмо о принятом решении информировать НКЦКИ через КЦ ГосСОПКА,Письмо в адрес Директора НКЦКИ письмо о принятом решении информировать НКЦКИ через КЦ ГосСОПКА,""
НС.КИИ.1,Нормативное соответствие.КИИ.НС.КИИ.1,Нормативное соответствие,КИИ,Полномочия по обеспечению ИБ возложены на заместителя руководителя Общества,НС.КИИ.1,КБ1,"1) Положение ""О подразделении, обеспечивающем ИБ"" в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.
2) Приказ ""О назначении ответственных за обеспечение безопасности значимых объектов критической информационной инфраструктуры"";
3) Приказ о создании отдельного структурного подразделение (СП) по ИБ или возложие функций по обеспечению ИБ на действующих работников СП по ИТ (при их отсутствии возложение обязанностей допустимо на иную техническую должность, приближенную к ИТ).",,"1) Положение ""О подразделении, обеспечивающем ИБ"" в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.
2) Приказ ""О назначении ответственных за обеспечение безопасности значимых объектов критической информационной инфраструктуры"";
3) Приказ о создании отдельного структурного подразделение (СП) по ИБ или возложие функций по обеспечению ИБ на действующих работников СП по ИТ (при их отсутствии возложение обязанностей допустимо на иную техническую должность, приближенную к ИТ).","1) Положение ""О подразделении, обеспечивающем ИБ"" в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.
2) Приказ ""О назначении ответственных за обеспечение безопасности значимых объектов критической информационной инфраструктуры"";
3) Приказ о создании отдельного структурного подразделение (СП) по ИБ или возложие функций по обеспечению ИБ на действующих работников СП по ИТ (при их отсутствии возложение обязанностей допустимо на иную техническую должность, приближенную к ИТ).",""
